date,TICKER,CUSIP,COMNAM,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,PRC,SHROUT,MARKET_CAP,TRAN_COST,ASK,BID,day_of_week,day_of_month,month,is_month_start,is_month_end,year,week,RET_ema_12,RET_ema_26,RET_skew_10,RET_kurtosis_10,RET_entropy_10,RSI,OBV,RET_lag_1,RET_lag_7,RET_lag_14,RET_lag_30,RET_mean_7d,RET_std_7d,RET_mean_14d,RET_std_14d,RET_mean_30d,RET_std_30d
1999-12-15,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.061636,0.07414494121156258,0.0005425935973955,7.510158479044743e-10,0.007234,3.895868419325911,0.7025584560566439,91442.0,21065950.75,0.0625,230.375,230.25,2,15,12,0,0,1999,50,0.007411273681339809,0.026642254508479433,-0.12038797298323035,-1.890225570491156,2.3025850929940455,56.60850372188036,0.10359231545459462,-0.050328,0.047101,-0.042857,0.105773,0.012399857142857145,0.06049558084253914,0.01182685714285714,0.05111078017985447,0.153188,0.06705493605992029
1999-12-16,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.176343,0.25426156431538843,0.0046125461254612,6.910949269906136e-10,0.003863,10.296876708733404,0.8268110290406937,91442.0,24780782.0,0.625,271.0,269.75,3,16,12,0,0,1999,50,0.03340077003805676,0.03773119861896244,0.768859248275039,0.7964687290916187,2.3025850929940455,58.920082099721945,0.13275789671251986,0.061636,0.042676,0.027363,-0.009728,0.014587428571428572,0.06139699057461242,0.013369071428571426,0.051239607988748874,0.09888266666666667,0.10533465673904924
1999-12-17,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.039668,0.06094078705476373,0.0008873114463176,1.9467148831778084e-10,0.001586,7.909122722600118,0.8596901714303191,91442.0,25763783.5,0.125,281.75,281.5,4,17,12,0,0,1999,50,0.034364959262971104,0.037874665387928184,0.5790349480647058,1.2120779043879577,2.3025850929940455,46.68798883364487,0.12442881464181003,0.176343,0.068584,0.099274,-0.092338,0.010203142857142859,0.05511624583075474,0.015002999999999999,0.05370931396809193,0.0510775,0.1286011759160856
1999-12-20,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.015972,0.03468295297181101,0.0026200873362445,1.5025995091456528e-10,-0.002069,4.06092386430743,0.8734535333608601,91442.0,26175272.5,0.375,286.25,285.5,0,20,12,0,0,1999,51,0.03153527322251401,0.036252245729563135,0.7456405140055365,1.3971746502240723,2.3025850929940455,48.383028856839815,0.12360696738819,0.039668,0.035197,0.044053,0.005772,0.008938000000000001,0.054305431416510556,0.017316571428571428,0.05424927196351511,0.0420164,0.11319988737317717
1999-12-21,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.054585,0.10890386552291388,-0.0004140786749482,3.9483425722632674e-10,0.010817,5.008245663918112,0.9212429845085716,91442.0,27604053.75,-0.0625,301.875,302.0,1,21,12,0,0,1999,51,0.035081385034434934,0.03761022752737327,0.6751090986094436,1.2102917645061655,2.3025850929940455,58.72684444330648,0.1278120723476263,0.015972,-0.026,-0.081751,0.076399,0.016902428571428575,0.041325181091989335,0.011383071428571426,0.06033516969073584,0.04774683333333333,0.10221740946710921
1999-12-22,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.036025,0.06189310591067798,0.0,-3.4774899397495063e-10,0.001884,3.8931344458782617,0.8879815265097644,91442.0,26609622.0,0.0,290.4375,290.4375,2,22,12,0,0,1999,51,0.024141941182983406,0.03215576622904933,1.047785105375199,1.5907718984923156,2.3025850929940455,48.43226761826041,0.12220393802105975,0.054585,-0.061602,-0.010913,0.011663,0.009661142857142858,0.050446039257899346,0.013540571428571426,0.058834781793810305,0.042592000000000005,0.09430273137790512
1999-12-23,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.032861,0.09180123591074651,0.0002220741727737,-3.072721609720923e-10,0.015465,4.155563089171278,0.8587343824073649,91442.0,25735207.875,0.03125,281.5,281.4375,3,23,12,0,0,1999,51,0.015372257924062882,0.027339709471341973,1.2700499905594314,1.755826106330536,2.3025850929940455,50.35195988931966,0.12249439713148134,-0.036025,-0.050328,-0.038328,0.001318,0.007946857142857146,0.05251029305583356,0.012714142857142854,0.05952163291140086,0.03743275,0.08851846543720208
1999-12-27,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.015767,0.030232989829028556,0.0008745080891998,3.086251583298615e-10,-0.00085,1.954320771636666,0.8723065865333149,91442.0,26140981.75,0.125,285.875,285.625,0,27,12,0,0,1999,52,0.015432987474207054,0.02648247173272405,1.149865066044397,1.7562934570828281,2.3025850929940455,47.8824085963371,0.12396456696088734,-0.032861,0.061636,0.047101,-0.041118,0.010023285714285719,0.05456384873007121,0.01831928571428571,0.05874051907189076,0.02870488888888889,0.08684272519394534
1999-12-28,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.050284,0.08375345348154659,0.0046040515653775,-1.0475275197576714e-09,0.000384,1.9335207016469456,0.8283402914774205,91442.0,24826503.0,0.625,272.75,271.5,1,28,12,0,0,1999,52,0.005322681708944429,0.020796066419188936,1.2337682191925818,1.936437577893576,2.3025850929940455,44.200699709036826,0.11843256760497771,0.015767,0.176343,0.042676,-0.026758,0.029118571428571435,0.08357324091649022,0.01627292857142857,0.05723154673975946,0.023158599999999998,0.08373356567934855
1999-12-29,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.118094,0.2058250162166761,0.0002058884084826,1.012447745134631e-09,0.003979,4.202051573675116,0.9264042452325244,91442.0,27758362.125,0.03125,303.5625,303.5,2,29,12,0,0,1999,52,0.022672115292183753,0.028003320758508275,0.7471236623215675,0.2173288851447965,2.3025850929940455,52.622501710902945,0.1530889721855092,-0.050284,0.039668,0.068584,-0.031371,0.02498771428571429,0.08199719721777951,0.019085214285714285,0.05886042980602968,0.018201363636363634,0.08112025107982929
1999-12-30,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.077208,0.08694473282464264,0.0030581039755351,6.022494541295285e-10,0.00069,4.287384352923165,0.9980884219540916,91442.0,29901534.0,0.5,328.0,327.0,3,30,12,0,0,1999,52,0.031062251401078562,0.03164811181343359,0.661357678519322,-0.05342689248981003,2.3025850929940455,52.20774716352496,0.14953414983924088,0.118094,0.015972,0.035197,0.071325,0.022241285714285717,0.08192018026655436,0.022353642857142857,0.05835586281482466,0.022628333333333334,0.07885077699776658
1999-12-31,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.001911,0.04470837433170919,0.0019076688286913,2.4363085899407462e-11,0.003264,2.618217011876381,1.0000000000000002,91442.0,29958685.25,0.3125,328.25,327.625,4,31,12,0,1,1999,52,0.02657744349322032,0.029445362790216287,0.42949449538283413,-0.427664500581001,2.3025850929940455,51.445349517629936,0.14616774337718616,0.077208,0.054585,-0.026,0.029212,0.03375342857142858,0.07964157601792575,0.02140185714285714,0.05907535854620465,0.02313476923076923,0.07551595075782978
2000-01-03,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.019458,0.10606225198867258,0.0007782101167315,-2.0982533440070208e-10,-0.009549,3.156831652850987,0.9805019039317338,91442.0,29375742.5,0.125,321.25,321.0,0,3,1,0,0,2000,1,0.019495067571186426,0.025822891472422487,0.7574123323991119,-0.24114480344791747,2.3025850929940455,52.215046167818755,0.14390129911444022,0.001911,-0.036025,-0.061602,-0.010561,0.03740728571428571,0.07498844401575994,0.01705,0.06294426173638436,0.02072792857142857,0.07311014364164659
2000-01-04,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.066148,0.05976895506856913,0.0016666666666666,-1.0093676421893335e-09,-0.038345,2.38891319087509,0.9155082503708462,91442.0,27432600.0,0.25,300.5,300.0,1,4,1,0,0,2000,1,0.006319211021773129,0.019010232844835637,0.742305770474049,-0.45335583406937935,2.3025850929940455,49.19836064244656,0.14111068660228873,-0.019458,-0.032861,-0.050328,-0.012675,0.03990257142857143,0.07180548595304108,0.0037477857142857135,0.05508190804356525,0.018501066666666666,0.07097664720120138
